publisher;title;author;category;primary_isbn13;barnes_and_noble_price;rating;ban_link
Harper;TOM LAKE;Ann Patchett;Hardcover Fiction;9,78006E+12;30;4.5;https://www.barnesandnoble.com/w/tom-lake-ann-patchett/1142598430?ean=9780063327528&st=AFF&2sid=The%20New%20York%20Times_7990613_NA&sourceId=AFFThe%20New%20York%20Times
Red Tower;FOURTH WING;Rebecca Yarros;Hardcover Fiction;9,78165E+12;29.99;4.7;https://www.barnesandnoble.com/w/fourth-wing-rebecca-yarros/1142297916?ean=9781649374042&st=AFF&2sid=The%20New%20York%20Times_7990613_NA&sourceId=AFFThe%20New%20York%20Times
Doubleday;LESSONS IN CHEMISTRY;Bonnie Garmus;Hardcover Fiction;9,78039E+12;29;4.4;https://www.barnesandnoble.com/w/lessons-in-chemistry-bonnie-garmus/1139798102?ean=9780385547345&st=AFF&2sid=The%20New%20York%20Times_7990613_NA&sourceId=AFFThe%20New%20York%20Times
Little, Brown;LION & LAMB;James Patterson and Duane Swierczynski;Hardcover Fiction;9,78032E+12;30;4.3;https://www.barnesandnoble.com/w/lion-lamb-james-patterson/1142799569?ean=9780316404891&st=AFF&2sid=The%20New%20York%20Times_7990613_NA&sourceId=AFFThe%20New%20York%20Times
Harper;DEMON COPPERHEAD;Barbara Kingsolver;Hardcover Fiction;9,78006E+12;32.50;4.1;https://www.barnesandnoble.com/w/demon-copperhead-barbara-kingsolver/1140860121?ean=9780063251922&st=AFF&2sid=The%20New%20York%20Times_7990613_NA&sourceId=AFFThe%20New%20York%20Times
Grove;THE COVENANT OF WATER;Abraham Verghese;Hardcover Fiction;9,7808E+12;32;4.3;https://www.barnesandnoble.com/w/covenant-of-water-abraham-verghese/1142363849?ean=9780802162175&st=AFF&2sid=The%20New%20York%20Times_7990613_NA&sourceId=AFFThe%20New%20York%20Times
Atria;NONE OF THIS IS TRUE;Lisa Jewell;Hardcover Fiction;9,78198E+12;28;4.5;https://www.barnesandnoble.com/w/none-of-this-is-true-lisa-jewell/1142483491?ean=9781982179007&st=AFF&2sid=The%20New%20York%20Times_7990613_NA&sourceId=AFFThe%20New%20York%20Times
Riverhead;THE HEAVEN & EARTH GROCERY STORE;James McBride;Hardcover Fiction;9,78059E+12;28;5;https://www.barnesandnoble.com/w/the-heaven-earth-grocery-store-james-mcbride/1142821692?ean=9780593422946
Berkley;HAPPY PLACE;Emily Henry;Hardcover Fiction;9,78059E+12;27;4.4;https://www.barnesandnoble.com/w/happy-place-emily-henry/1141876774?ean=9780593441275
Tor;MASTERS OF DEATH;Olivie Blake;Hardcover Fiction;9,78125E+12;26.99;4.6;https://www.barnesandnoble.com/w/masters-of-death-olivie-blake/1141640010?ean=9781250892461
Knopf;TOMORROW, AND TOMORROW, AND TOMORROW;Gabrielle Zevin;Hardcover Fiction;9,78059E+12;28;4.6;https://www.barnesandnoble.com/w/tomorrow-and-tomorrow-and-tomorrow-gabrielle-zevin/1140356782?ean=9780593321201
Delacorte;HAPPINESS;Danielle Steel;Hardcover Fiction;9,78198E+12;28.99;4.5;https://www.barnesandnoble.com/w/happiness-danielle-steel/1142639626?ean=9781984821928
Morrow;TIDES OF FIRE;James Rollins;Hardcover Fiction;9,78006E+12;32;5;https://www.barnesandnoble.com/w/tides-of-fire-james-rollins/1142267968?ean=9780062893079
